category,description,image_url,main_category,name,price
Karmy mokre,Pełnoporcjowa karma dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3553102.jpg,Koty,purina friskies wołowina w sosie,"1,65"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Sheba Selection in Sauce Soczyste Smaki 4x85g 3plus1G 3065890100145.tiff,Koty,sheba selection mięsne dania w sosie 4x85g,"10,91"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Sheba drób w aksamitnym musie 85g 3065890123601.tiff,Koty,Sheba z drobiem w aksamitnym musie,"2,49"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Sheba frykas kurczak w ziołowym sosie 85g 4008429070181.tiff,Koty,sheba frykas z kurczaka w ziołowym sosie,"2,99"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Sheba frykas indyk z warzywami 85g 4008429069987.tiff,Koty,sheba frykas z indyka z warzywami,"3,42"
Karmy mokre,Pełnowartościowa karma dla kotów klasy premium.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Brit-Premium-Cat-Adult-Wolowina-_[25855]_1200.jpg,Koty,brit premium wołowina z groszkiem w sosie,"2,07"
Karmy mokre,Karma pełnoporcjowa dla dorosłych kotów.,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Sheba frykas indyk w białym sosie 85g 3065890123601.tiff,Koty,sheba frykas z indyka w białym sosie,"2,89"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla kotów od 7 do 12 roku życia, wybrednych, preferujących kawałki w sosie.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/instinctive7 sos.jpg,Koty,ROYAL CANIN Instinctive +7,"4,81"
Karmy mokre,"Rozwiązanie żywieniowe dla kotów powyżej 12 roku życia, preferujących kawałki w galaretce.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ageing12 jelly.jpg,Koty,ROYAL CANIN Ageing +12 in Jally,"4,81"
Karmy mokre,"Rozwiązanie żywieniowe opracowane specjalnie dla kotów po 12 roku życia, preferujących kawałki w sosie.",https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ageing12sauce.jpg,Koty,ROYAL CANIN Ageing 12+,"4,81"
